id,year,month,state,tot_no_pw_reg_anc,no_early_anc_register,early_anc_register,no_anc_4_or_more,anc_4_or_more,no_pw_given_tt1,pw_tt1_given,no_pw_given_tt2,pw_tt2_given,no_pw_given_tt_booster,pw_tt_booster_given,no_pw_given_calcium,pw_calcium,no_pw_given_ifa,pw_ifa,no_pw_given_albendazole,pw_albendazole,tot_c_section_deliveries,c_section_deliveries,tot_chld_born,tot_still_birth,per_still_birth
3314,2017-2018,November,Telangana,94832,48415,51.05,64877,68.41,63866,98.44,59699,92.02,17208,26.52,77345,119.22,95673,147.47,17302,26.67,24601,46.02,57612,305,5.29
3315,2017-2018,November,Tripura,6554,3829,58.42,3620,55.23,4578,126.46,3873,106.99,492,13.59,0,0.00,2556,70.61,189,5.22,1000,22.06,4863,100,20.56
3316,2017-2018,November,Uttarakhand,14635,8401,57.40,8192,55.98,10799,131.82,10495,128.11,1980,24.17,7149,87.27,5938,72.49,1070,13.06,1311,12.91,11882,107,9.01
3317,2017-2018,November,Uttar Pradesh,466917,206663,44.26,232420,49.78,345958,148.85,337253,145.10,85139,36.63,132852,57.16,401852,172.90,55203,23.75,12960,4.88,323031,4381,13.56
3318,2017-2018,November,West Bengal,134051,109042,81.34,111307,83.03,115138,103.44,101473,91.16,11421,10.26,32044,28.79,116136,104.34,76551,68.77,36957,32.09,119236,2010,16.86
3319,2017-2018,December,Andhra Pradesh,69159,55093,79.66,65468,94.66,64305,98.22,65743,100.42,5231,7.99,46784,71.46,72674,111.01,19192,29.32,19714,31.43,64423,596,9.25
3321,2017-2018,December,Arunachal Pradesh,2297,767,33.39,671,29.21,1375,204.92,1030,153.50,221,32.94,554,82.56,892,132.94,293,43.67,323,20.92,1708,12,7.03
3322,2017-2018,December,Assam,47714,40580,85.05,49363,103.46,42449,85.99,42799,86.70,5000,10.13,7612,15.42,51497,104.32,10521,21.31,10479,20.84,55856,1227,21.97
3323,2017-2018,December,Bihar,231857,148203,63.92,141628,61.08,128956,91.05,114501,80.85,78376,55.34,79416,56.07,153203,108.17,31534,22.27,3748,2.59,181083,2120,11.71
3324,2017-2018,December,Chandigarh,3276,2130,65.02,2415,73.72,1556,64.43,1113,46.09,346,14.33,2228,92.26,2123,87.91,1346,55.73,779,30.35,2534,60,23.68
3325,2017-2018,December,Chhattisgarh,49900,45018,90.22,48602,97.40,40490,83.31,41351,85.08,11775,24.23,36880,75.88,51624,106.22,34894,71.80,7209,17.11,43080,825,19.15
3328,2017-2018,December,Delhi,71972,26048,36.19,29181,40.54,20012,68.58,17409,59.66,2891,9.91,34320,117.61,36456,124.93,10647,36.49,6742,29.46,23704,447,18.86
3329,2017-2018,December,Goa,1904,1021,53.62,1195,62.76,827,69.21,812,67.95,141,11.80,1304,109.12,1352,113.14,323,27.03,642,41.96,1528,12,7.85
3330,2017-2018,December,Gujarat,114974,91876,79.91,87083,75.74,89591,102.88,83414,95.79,27665,31.77,109798,126.08,113547,130.39,84001,96.46,15359,15.61,104239,1053,10.10
3331,2017-2018,December,Haryana,42960,31568,73.48,32372,75.35,31285,96.64,25661,79.27,11169,34.50,31398,96.99,31679,97.86,26569,82.07,7459,17.12,46810,608,12.99
3332,2017-2018,December,Himachal Pradesh,9896,8620,87.11,7182,72.57,6653,92.63,5571,77.57,2747,38.25,6660,92.73,7938,110.53,5623,78.29,1515,23.03,7344,101,13.75
3334,2017-2018,December,Jharkhand,77185,40453,52.41,65213,84.49,62556,95.93,54806,84.04,12910,19.80,31708,48.62,56463,86.58,19294,29.59,4565,7.49,64228,799,12.44
3335,2017-2018,December,Karnataka,84783,68171,80.41,97291,114.75,80078,82.31,76756,78.89,27437,28.20,83896,86.23,105516,108.45,58296,59.92,20572,27.97,73655,736,9.99
3336,2017-2018,December,Kerala,42348,34231,80.83,40364,95.32,34818,86.26,31996,79.27,904,2.24,9580,23.73,34897,86.46,1562,3.87,14466,41.16,35623,158,4.44
3337,2017-2018,December,Lakshadweep,107,84,78.50,107,100.00,75,70.09,77,71.96,19,17.76,83,77.57,83,77.57,10,9.35,26,39.39,66,0,0.00
